Nombre,Breve descripción,Componentes,Duración,Esfera de conjuro,Materiales,"Nivel ",Rango,Ritual,Tiempo de lanzamiento,Tipo duración
Moldear Agua,"El agua te obedece: fluye, corta, congela o escaldas según tu necesidad.","M, S, V","Instantáneo / Hasta 1 hora ","Catálisis, Energía",Una gota de agua en la palma,Truco,6 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
" Chorro Ácido","Un chorro de líquido corrosivo disuelve metal, carne y esperanza a partes iguales.","S, V",Instantáneo,"Catálisis, Ruina",,Truco,6 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Secar,Evaporas la humedad al instante; el agua desaparece como si nunca hubiera existido.,V,Instantáneo,"Catálisis, Energía",,Truco,4 casillas,No,1 acción bono,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Transmutación Menor,La materia obedece tu voluntad; lo ordinario se convierte en algo útil.,"S, V",1 hora,Catálisis,,Truco,Contacto,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Acometida Psíquica,Tu pensamiento se convierte en lanza; la mente del enemigo sangra sin herida visible.,"M, S, V",Instantáneo,Mente,Un cristal pulido que refleje la luz,Truco,12 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Atracción,Un impulso irresistible; la criatura se acerca sin saber por qué.,"S, V",1 ronda,"Espejismo, Mente",,Truco,8 casillas,No,1 acción bono,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Susurro Sombrío,"Implanta una duda, un miedo fugaz, un pensamiento ajeno que parece propio.",V,Instantáneo,"Espejismo, Mente",,Truco,6 casillas,No,1 acción bono,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Guía,Tu voz o gesto otorgan claridad sobrenatural; el éxito se vuelve algo más alcanzable.,V,"Concentración, hasta 1 minuto","Destino, Mente",,Truco,6 casillas,No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Ilusión Menor,Tejes una imagen perfecta de algo que no existe; la mente del enemigo hace el resto.,"M, S, V",1 minuto,Espejismo,Un trozo de vellón de oveja,Truco,6 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Rayo de Purpurina,Un destello de luz carmesí y oro; el objetivo parpadea y ya no puede ver bien.,"S, V",Instantáneo,"Energía, Espejismo",,Truco,8 casillas,No,1 acción bono,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Velo de Sombra,"Te envuelves en penumbra; por un instante, eres solo una sombra entre sombras.","S, V",Hasta el inicio de tu próximo turno,Espejismo,,Truco,Personal,No,1 reacción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Prestidigitación,"Pequeños trucos de luz, humo y sonido; la magia que parece simple nunca lo es.","S, V",Hasta 1 hora,Espejismo,,Truco,2 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Pisotón Telúrico,El suelo mismo se convierte en tu arma; la tierra sacude y aplasta cuanto la pisa.,"M, S, V",Instantáneo,Cénit,Un puñado de tierra o arena,Truco,Radio 2 casillas (centrado en ti o punto dentro de 4 casillas),No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Dermis Pétrea,Tu piel adopta la dureza de la piedra; eres roca viva que camina y golpea.,"M, S, V",Instantáneo,"Cénit, Restauración",Un fragmento de cuarzo o granito,Truco,Contacto,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Lastre Gravitatorio,La gravedad pesa más sobre el elegido; cada paso se vuelve un esfuerzo titánico.,S,1 ronda,Cénit,,Truco,8 casillas,No,1 acción bono,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Reparar,"Con tus manos y voluntad, soldas lo roto; el objeto recuerda su forma original.","S, V",Instantáneo,"Catálisis, Cénit",,Truco,Contacto,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Rayo de Fuego,Un pequeño sol nace en tu palma; lo lanzas y el mundo arde.,"M, S, V",Instantáneo,Energía,Una mota de azufre o un fósforo,Truco,12 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Salto Eléctrico,"Un arco de relámpago te catapulta; a tu paso, chispas queman a los cercanos.","S, V",Instantáneo,"Energía, Realidad",,Truco,4 casillas,No,1 acción bono,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Toque Eléctrico,Tu mano carga con el poder de la tormenta; el contacto deja a tu enemigo paralizado.,"S, V",Instantáneo,Energía,,Truco,Contacto,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Resonar,"Amplifica, distorsiona o silencia el sonido; la vibración del aire obedece tu voluntad.",S,1 minuto,Energía,,Truco,10 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Doblar la Suerte,"Tuerces el hilo del destino; lo que debía fallar acierta, y lo que debía acertar falla.","M, S, V",Instantáneo,Destino,Una moneda vieja con las dos caras iguales,Truco,8 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Augurio,Un instante de visión clara; el futuro inmediato se revela en destellos imprecisos.,"S, V",Instantáneo,Destino,,Truco,Personal,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Presagio Defensivo,"Anticipas el golpe antes de que llegue; tu cuerpo se mueve solo, guiado por el destino.","S, V",Instantáneo,"Destino, Restauración",,Truco,Personal,No,1 reacción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Marca del Destino,Grabas un sigilo invisible en la mente del enemigo; el destino lo perseguirá.,"S, V",1 minuto,"Destino, Mente",,Truco,6 casillas,No,1 acción bono,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Mano de mago,"Una mano espectral obedece tu voluntad; recoge, empuja, sostiene o golpea a distancia.","M, S, V",1 minuto (concentración para la utilidad) / Instantáneo (ataque),"Cinético, Origen",Un guante viejo o hilo de seda,Truco,6 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Crear Ilusión Sólida,"Manifiestas materia temporal; lo que creas se ve, se toca y pesa como lo real.","S, V",1 hora,"Espejismo, Origen",,Truco,4 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Arma Espectral,"Manifiestas un arma de energía pura; flota, ataca y obedece como extensión de tu voluntad.","S, V","Concentración, hasta 1 minuto","Cinético, Origen",,Truco,2 casillas,No,1 acción bono,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Convocar Objeto,Llamas a un objeto que conoces; acude volando a través del espacio hacia tu mano.,V,Instantáneo,Origen,,Truco,6 casillas,No,1 acción bono,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Desgarro Dimensional,Abres una brecha en el tejido del espacio; lo que hay al otro lado no es amigable.,"M, S, V","Instantáneo ",Realidad,Un fragmento de espejo negro o vidrio obsidiana,Truco,10 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Ralentizar Instante,Doblas el tiempo local; el objetivo se mueve como si vadeara melaza invisible.,"S, V",1 ronda,Realidad,,Truco,8 casillas,No,1 acción bono,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Eco Temporal,"Repites el pasado inmediato; un momento vuelve a ocurrir, aunque no exactamente igual.","S, V",Instantáneo,Realidad,,Truco,Personal,No,1 reacción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Anclaje Dimensional,"Fijas a la criatura al plano material; no puede escapar, no puede deslizarse entre mundos.","S, V",1 minuto,"Cénit, Realidad",,Truco,8 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Planta Despertada,"Una raíz, una flor o un zarcillo cobra vida y te sigue con voluntad vegetal silenciosa.","M, S, V","Concentración, hasta 1 hora","Origen, Simbiosis",Una semilla de planta venenosa o resistente de 5 PO,1º círculo,2 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Mota de Tormenta,"Una nube viva y furiosa nace de tus manos; chisporrotea, ruge y obedece.","M, S, V","Concentración, hasta 1 hora","Energía, Realidad","Un pelo de criatura herida por rayo, 15 PO",1º círculo,4 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Explosión de Tinta,Una bomba de tinta arcana revienta y empapa al enemigo; ve oscuridad y nada más.,"M, S, V","Instantáneo ","Catálisis, Espejismo","Un frasco de tinta de calamar, 2 PO",1º círculo,8 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Fiebre de Mercurio,"Una toxina líquida y plateada entra en la sangre; la mente se nubla, el cuerpo tiembla.","M, S, V",Instantáneo,"Catálisis, Ruina","Una gota de mercurio en un vial sellado, 5 PO",1º círculo,6 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Lluvia de Clavos Magnéticos,Esquirlas de metal magnetizado caen como granizo y se clavan en la carne y el metal.,"M, S, V","Instantáneo ","Cinético, Cénit","Un puñado de clavos de hierro, 1 PO",1º círculo,10 casillas (cono de 3 casillas),No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Erupción de Lava,El suelo se agrieta y escupe magma; lo que toca arde y no puede escapar fácilmente.,"M, S, V","Instantáneo ","Cénit, Energía",Un fragmento de obsidiana volcánica,1º círculo,8 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Ola Asfixiante,Una ola de agua arcana llena los pulmones de quienes no sepan nadar entre sueños.,"M, S, V","Instantáneo ",Catálisis,"Agua salada en un frasco, 1 PO",1º círculo,"8 casillas (línea de 6 casillas, 1 de ancho)",No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Red Venenosa,Hilos pegajosos y tóxicos llenan el espacio; quien los toca queda atrapado y envenenado.,"M, S, V","Concentración, hasta 1 hora","Ruina, Simbiosis","Una araña muerta o capullo de seda, 2 PO",1º círculo,8 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Lanza de Hielo,Una jabalina de hielo puro atraviesa distancias y deja al objetivo congelado en su sitio.,"M, S, V",Instantáneo,"Catálisis, Energía","Una esquirla de hielo perenne o nieve prensada, 1 PO",1º círculo,12 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Dardos en Llamas,Tres dardos de fuego puro obedecen tu voluntad; siempre encuentran su objetivo.,"M, S, V",Instantáneo,"Destino, Energía","Resina ignífuga, 3 PO",1º círculo,12 casillas,No,1 acción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Comandar,Una palabra cargada de poder arcano y voluntad irrompible; el objetivo obedece sin querer.,V,1 ronda,Mente,,1º círculo,12 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Jaula de Ecos,El sonido mismo se convierte en prisión; los gritos del objetivo rebotan y lo enloquecen.,"S, V","Concentración, hasta 1 minuto","Energía, Mente",,1º círculo,10 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Calmar Emociones,Una onda de paz arcana se expande y aplaca incluso la rabia más irrefrenable.,"S, V","Concentración, hasta 1 minuto","Mente, Restauración",,1º círculo,12 casillas (radio 4 casillas centrado en punto elegido),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Nube de Pestilencia,Un vapor verde y espeso llena el área; quien lo respira siente las náuseas del fin.,"M, S, V","Concentración, hasta 1 minuto","Catálisis, Ruina","Estiércol podrido, 3 PO",1º círculo,10 casillas (esfera de radio 2 casillas),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Terreno Lodoso,El suelo firme se convierte en trampa líquida; avanzar se vuelve un suplicio.,"M, S, V","Concentración, hasta 1 hora","Catálisis, Cénit",Un puñado de barro o arcilla húmeda,1º círculo,10 casillas (área de 4×4 casillas),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Fascinar,Tus ojos brillan con luz hipnótica; la mente de la víctima queda atrapada en tu mirada.,"S, V","Concentración, hasta 1 minuto","Espejismo, Mente",,1º círculo,8 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Enredar,La hierba y las raíces cobran vida y aprisionan a todo el que pise el suelo encantado.,"M, S, V","Concentración, hasta 1 minuto",Simbiosis,Un trozo de hiedra trepadora,1º círculo,12 casillas (radio 4 casillas centrado en punto elegido),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Sueño Arcano,Un sopor mágico cae sobre los más débiles; sus ojos se cierran sin que puedan evitarlo.,"M, S, V",1 minuto,"Destino, Mente","Pétalos de flor adormecedora o polvo de arena, 2 PO",1º círculo,10 casillas,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Agarre Fantasmal,Manos invisibles de otro plano aprisionan al objetivo; no hay escape físico.,"S, V","Concentración, hasta 1 minuto","Mente, Realidad",,1º círculo,8 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Invertir Gravedad Local,Señalas el suelo y el cielo se invierten para un ser; cae hacia arriba sin remedio.,"S, V","Concentración, hasta 1 minuto",Cénit,,1º círculo,8 casillas,No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Moho Devoralotodo,"Inoculas esporas de moho arcano; lentamente consume armadura, carne y voluntad.","M, S, V","Concentración, hasta 1 hora","Ruina, Simbiosis","Esporas de moho arcano cultivadas, 25 PO — consumible",1º círculo,8 casillas,Yes,"1 acción, 10 minutos",Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Purificación Ácida,Un baño de ácido arcano purifica heridas infectadas pero consume lo podrido con dolor.,"M, S, V","Concentración, hasta 10 minutos","Catálisis, Restauración","Ácido alquímico purificado en frasco de cristal, 30 PO — consumible",1º círculo,Contacto (una criatura o área de 2×2 casillas),Yes,"1 acción, 10 minutos",Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Polvo de Óxido,Un polvillo arcano se deposita en el metal; lo que no se limpie se convierte en herrumbre.,"M, S, V","Concentración, hasta 1 hora",Cénit,"Polvillo de óxido prensado, 20 PO — consumible",1º círculo,10 casillas (área de 4×4 casillas),Yes,"1 acción, 10 minutos",Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Zona de Infortunio,Marcas el suelo con runas de mala fortuna; quien permanezca sufre el peso del destino adverso.,"M, S, V","Concentración, hasta 8 horas",Destino,"Tinta mágica y fragmento de espejo roto, 35 PO — consumible",1º círculo,8 casillas (radio 3 casillas),Yes,"1 acción, 10 minutos",Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Aura de Desolación,Un halo de energía necrótica y desesperanza rodea al lanzador; estar cerca duele.,"M, S, V","Concentración, hasta 1 hora","Espejismo, Ruina","Ceniza de ser vivo quemado en ritual, 40 PO — consumible",1º círculo,Personal (radio 2 casillas),Yes,"1 acción, 10 minutos",Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Plaga de Esporas,Las esporas se adhieren a la piel y germinan lentamente; la fiebre verde devora desde dentro.,"M, S, V","Concentración, hasta 1 hora",Simbiosis,"Esporas de hongo venenoso cultivadas, 30 PO — consumible",1º círculo,10 casillas (nube de radio 3 casillas),Yes,"1 acción, 10 minutos",Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Campo de Escarcha,"El suelo se cubre de hielo que quema; cada paso ralentiza, cada segundo congela un poco más.","M, S, V","Concentración, hasta 1 hora","Catálisis, Energía","Cristal de hielo perenne sellado en cera de abeja, 25 PO — consumible",1º círculo,10 casillas (área de 5×5 casillas),No,"1 acción, 10 minutos",Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Red de Relámpagos,Hilos invisibles de electricidad arcana tejen una trampa letal sobre el área designada.,"M, S, V","Concentración, hasta 1 hora",Energía,"Bobina de hilo de cobre, 35 PO — consumible",1º círculo,8 casillas (área de 4×4 casillas),No,"1 acción, 10 minutos",Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Círculo de Vinculación,Trazas el círculo con intención absoluta; quien lo cruce sentirá el peso de tu voluntad.,"M, S, V","Concentración, hasta 8 horas","Destino, Origen","Polvo de plata y carbón, 50 PO — consumible",1º círculo,Personal (radio 3 casillas centrado en ti al lanzar),No,"1 acción, 10 minutos",Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Suelo Abrasador,Enciendes el suelo mismo con fuego arcano persistente; caminar se convierte en agonía.,"M, S, V","Concentración, hasta 1 hora",Energía,"Aceite arcano inflamable en frasco sellado, 20 PO — consumible",1º círculo,10 casillas (área de 4×4 casillas),No,"1 acción, 10 minutos",Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
" Encontrar Familiar","Ofreces tu sangre al vacío y algo responde; no es una mascota, es un fragmento de tu alma.
","M, S, V","Indefinida ",Origen,"Una gota de tu propia sangre — el lanzador reduce sus PG máximos en 1 de forma permanente hasta recuperarlos; no es consumible, es un sacrificio",1º círculo,Personal,Yes,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Represalia Cromática,Tu energía estalla hacia afuera en respuesta a la agresión; el elemento castiga al osado.,"S, V",Instantáneo,"Catálisis, Cinético, Cénit, Destino, Energía, Mente, Realidad, Restauración, Simbiosis",,1º círculo,12 casillas,No,1 reacción,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)
Marca Cromática,Señalas al elegido con tu energía; la marca lo persigue y lo debilita ante tus aliados.,"S, V","Concentración, hasta 1 hora","Catálisis, Cinético, Cénit, Energía, Mente, Realidad, Restauración, Ruina, Simbiosis",,1º círculo,12 casillas,No,1 acción bono,
Detectar Magia,Abres un ojo que los demás no tienen; la magia se revela como luz entre sombras.,"S, V","Concentración, hasta 10 minutos","Cinético, Destino",,Truco,Personal (radio 6 casillas),No,1 acción,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21)
Buenas Bayas,"Con palabras de crecimiento y vida, conviertes fruta ordinaria en medicina arcana comestible.","M, S, V",24 horas,"Restauración, Simbiosis",Un puñado de bayas frescas o fruta común,1º círculo,Contacto,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Escritura Ilusoria,"Las palabras que escribes son visibles solo para quien tú elijas; para los demás, garabatos sin sentido.","M, S, V",Hasta ser disipado,"Espejismo, Mente",Tinta mágica de al menos 10 PO — consumible,1º círculo,Contacto,Yes,1 minuto,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Llama Continua,Una llama que no necesita combustible ni oxígeno; arde fiel hasta que tú lo decidas.,"M, S, V",Hasta ser disipado,"Destino, Energía","polvo de rubí, 50 PO — consumible",1º círculo,Contacto,No,1 acción,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
Alarma,Tejes un hilo invisible entre el umbral y tu mente; nadie cruzará sin que lo sepas.,"M, S, V",8 horas,"Cinético, Destino","Un cascabel de plata, 5 PO",1º círculo,4 casillas,Yes,10 minutos,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21)
